var_names,rate_class0_1stOrder,rate_class0_2ndOrder,feature,rate_class0_1stOrder_numPriorsOmitted,rate_class0_2ndOrder_numPriorsOmitted
crime_factor_M,9.764207644723056e-07,0.11116898368727704,Severity of Charge: M,0.07161844689140473,0.15888433860379225
priors_count,0.9999880535032704,0.0,Num. Priors,0.0,0.0
age_factor_Greater than 45,1.8871318797238301e-06,0.11119908823833757,> 45 Yrs. Old,0.22214744925512286,0.22442672300647445
age_factor_Less than 25,3.056078137209219e-07,0.11108277107000926,< 25 Yrs. Old,0.03533962022119284,0.13640327869725893
race_factor_African-American,8.709893006784716e-06,0.11156414408756597,Race: African-American,0.6647662307396015,0.0
race_factor_Asian,3.6500771067787315e-12,0.11098456864880644,Race: Asian,7.922590816417533e-07,0.09036591045482477
race_factor_Hispanic,2.569447348827222e-08,0.1110108993688456,Race: Hispanic,0.003511087350367239,0.10368728654990106
race_factor_Native American,3.5094350354636526e-12,0.11098646245314861,Race: Native-American,1.4926597570598118e-10,0.09017330563828713
race_factor_Other,3.1366375539412645e-08,0.11101256219568151,Race: Other,0.0019691080283957287,0.10020732853003067
gender_factor_Female,1.0375256252961598e-08,0.11099052025032792,Female,0.0006472651055674937,0.09585182851943073
