var_names,rate_class0_1stOrder,rate_class1_1stOrder,rate_class2_1stOrder,rate_class0_2ndOrder,rate_class1_2ndOrder,rate_class2_2ndOrder,feature,rate_class0_1stOrder_numPriorsOmitted,rate_class1_1stOrder_numPriorsOmitted,rate_class2_1stOrder_numPriorsOmitted,rate_class0_2ndOrder_numPriorsOmitted,rate_class1_2ndOrder_numPriorsOmitted,rate_class2_2ndOrder_numPriorsOmitted
crime_factor_M,1.12423530029418e-06,2.726518584667618e-06,8.964062382505908e-07,0.11110020234043544,0.11111169215756207,0.11109432133736347,Severity of Charge: M,0.07891570195731423,0.07852940835661544,0.07824576102248261,0.1603056862743159,0.16012882895692127,0.16000033604663308
priors_count,0.9999824265556233,0.9999555705754593,0.9999861581112117,0.0,0.0,0.0,Num. Priors,0.0,0.0,0.0,0.0,0.0,0.0
age_factor_Greater than 45,2.405334342601809e-06,7.913109250591994e-06,1.711102046931168e-06,0.11127191218206636,0.11139047335782457,0.11125171287499275,> 45 Yrs. Old,0.2892033022493667,0.2893352023551321,0.2893209707942257,0.24863078436600133,0.24869056595274833,0.24869550349670308
age_factor_Less than 25,9.995540447430765e-07,3.251700784056257e-06,7.150401792795679e-07,0.11117909819337786,0.11121902464723009,0.11117433852558105,< 25 Yrs. Old,0.03657113649161613,0.03661448490740453,0.036659571287426695,0.1341835559315932,0.13423351172093628,0.13428484598289656
race_factor_African-American,1.2970513510019167e-05,3.0289125395945422e-05,1.0467187404640371e-05,0.11155197327372011,0.1118234540608661,0.11149062392007705,Race: African-American,0.590167230154302,0.5903821697807946,0.5906399532288631,0.0,0.0,0.0
race_factor_Asian,2.536628805555306e-12,1.027937430574044e-11,1.6374193795363768e-12,0.11094345019400609,0.11084262715936775,0.11096290767738536,Race: Asian,1.994620935558857e-07,1.9923030489943812e-07,1.986913493491568e-07,0.08613696820755823,0.08615334206451908,0.08617148499788012
race_factor_Hispanic,3.1392892962157107e-08,1.0636384343208207e-07,2.207597856915915e-08,0.11096126178782853,0.11088481150940767,0.110975705549605,Race: Hispanic,0.0025248322533391546,0.002533645204743844,0.0025398446385552337,0.09761600491119916,0.09765882130480953,0.09769516571270526
race_factor_Native American,5.611562817253286e-14,3.2496391623329392e-15,9.159530310114867e-14,0.11100788801531887,0.11090958955883312,0.11103073233796658,Race: Native-American,2.1083032010991009e-10,2.1114119464713928e-10,2.114490123926922e-10,0.08604075511498625,0.08605711464744707,0.08607534725249245
race_factor_Other,3.532243445977601e-08,1.2901625202534845e-07,2.3995812672921068e-08,0.11102533841905232,0.11095384227139564,0.11104212278051756,Race: Other,0.00229375415055552,0.002287246221409648,0.002280716521910062,0.09707897104002923,0.09708160608227621,0.09708508168244052
gender_factor_Female,7.089258955136137e-09,1.3580147388103998e-08,6.079398789631295e-09,0.11095887559419439,0.11086448527751294,0.11097753499651111,Female,0.00032384307058225834,0.00031764373245364184,0.0003129836037382433,0.09000727415431674,0.0899962092703422,0.08999223482824892
